Id_Cliente;Ciudad; Patrimonio ; Ingresos_Mensuales ;No_hijos;oficina;fecha_ult_desembolso;monto_credito;tasa;saldo_capital;saldo_Ahorro;Antiguedad_en_meses;Max_dias_mora;plazo_dias;Edad
427658;Cartagena;745968;1614094;0;4024;30/12/2017;1500000;33.93;1357387;33438;12;0;900;65
427659;Barranquilla;834415;920234;1;4011;18/12/2017;1500000;33.93;392262;0;12;0;540;40
427670;Barranquilla;1164858;1568317;1;7032;17/02/2018;1064170;0.3;211724;0;12;0;540;36
427671;Cali;1187587;796660;1;7032;25/12/2017;2338552;0.3;828993;0;12;0;720;47
427720;Cartagena;2840488;1474771;0;7025;23/01/2018;2385560;33.93;1997956;0;12;0;720;56
427721;Cartagena;2860707;1713071;1;7032;27/01/2018;4000000;0.3;1538055;8844;12;0;720;40
427736;Cartagena;3537455;953796;1;7025;6/12/2017;2300000;33.93;2081267;0;12;0;720;60
427759;Cartagena;4558468;947845;0;4005;25/01/2018;1200000;33.18;363970;0;12;0;450;34
427766;Cali;4847393;1840224;1;4014;30/12/2017;2000000;25.12;1005056;132549;12;0;900;67
427769;Bogotá;4908414;1507874;0;7025;10/02/2018;1500000;33.93;1329227;13104;12;0;450;67
427785;Bogotá;5275738;1715839;0;4005;30/01/2018;1500000;31.89;384755;18085;12;58;720;56
427789;Bogotá;5420769;1735260;1;4005;28/11/2017;3093120;33.18;2096181;0;12;0;720;55
427790;Cali;5425574;495194;1;4010;17/11/2017;2639680;33.93;2639680;41365;12;0;1080;63
427824;Barranquilla;7277396;1847371;0;7032;11/01/2018;2285560;0.3;870846;0;12;0;720;45
427829;Bogotá;7478671;1919814;0;7025;6/01/2018;1400000;32.27;1193305;21436;12;0;360;30
427838;Barranquilla;7905502;1260901;0;7032;21/01/2018;3500000;0.3;767448;0;12;0;720;45
427855;Cartagena;8474210;1347845;1;4024;30/12/2017;1500000;33.93;1357387;33438;12;0;900;58
427856;Bogotá;8561905;1462642;0;4011;18/12/2017;1500000;33.93;392262;0;12;0;540;52
427867;Cali;8873098;1245321;1;7032;17/02/2018;1064170;0.3;211724;0;12;0;540;21
427868;Cartagena;8902069;1178450;0;7032;25/12/2017;2338552;0.3;828993;0;12;0;720;42
427917;Cartagena;10804408;747845;0;7025;23/01/2018;2385560;33.93;1997956;0;12;0;720;49
427918;Cartagena;10819858;747845;0;7032;27/01/2018;4000000;0.3;1538055;8844;12;0;720;29
427933;Bogotá;11305564;1922519;0;7025;6/12/2017;2300000;33.93;2081267;0;12;0;720;25
