Id_Cliente;Ciudad; Patrimonio ; Ingresos_Mensuales ;No_hijos;oficina;fecha_ult_desembolso;monto_credito;tasa;saldo_capital;saldo_Ahorro;Antiguedad_en_meses;Max_dias_mora;plazo_dias;Edad;Acepta_Campaña
216966;Barranquilla;13224000;2042480;1;4024;14/05/2017;1500000;33.93;1357387;33438;12;0;900;50;1
216967;Barranquilla;13380000;1513835;2;4011;2/05/2017;1500000;33.93;392262;0;12;0;540;59;1
216978;Barranquilla;17320000;1594497;0;7032;2/07/2017;1064170;0.30;211724;0;12;0;540;63;1
216979;Barranquilla;17439000;1104406;2;7032;9/05/2017;2338552;0.30;828993;0;12;0;720;55;1
217028;Barranquilla;41366000;1988538;2;7025;7/06/2017;2385560;33.93;1997956;0;12;0;720;45;0
217029;Barranquilla;41771000;1690652;1;7032;11/06/2017;4000000;0.30;1538055;8844;12;0;720;55;1
217044;Barranquilla;49007000;868070;0;7025;20/04/2017;2300000;33.93;2081267;0;12;0;720;37;1
217067;Barranquilla;57815000;1338413;2;4005;9/06/2017;1200000;33.18;363970;0;12;0;450;38;1
217074;Barranquilla;61457000;2024862;2;4014;14/05/2017;2000000;25.12;1005056;132549;12;0;900;69;1
217077;Barranquilla;63614000;1135835;0;7025;25/06/2017;1500000;33.93;1329227;13104;12;0;450;69;1
217093;Barranquilla;72990000;1210048;2;4005;14/06/2017;1500000;31.89;384755;18085;12;58;720;53;1
217097;Barranquilla;75371000;1361343;0;4005;12/04/2017;3093120;33.18;2096181;0;12;0;720;24;0
217098;Barranquilla;75409000;1695564;1;4010;1/04/2017;2639680;33.93;2639680;41365;12;0;1080;35;1
217122;Barranquilla;88360000;1139689;0;7038;4/06/2017;2000000;32.09;318575;6478;12;0;720;66;1
217132;Barranquilla;91586000;1576317;0;7032;26/05/2017;2285560;0.30;870846;0;12;0;720;31;1
217137;Barranquilla;92812000;1576275;1;7025;21/05/2017;1400000;32.27;1193305;21436;12;0;360;38;1
217146;Barranquilla;96236000;1561787;0;7032;5/06/2017;3500000;0.30;767448;0;12;0;720;23;0
217163;Barranquilla;13224000;2042480;1;4024;14/05/2017;1500000;33.93;1357387;33438;12;0;900;50;1
